timestamp,open,high,low,close,volume
2019-04-05,2028.6500,2054.3999,2018.8000,2048.3501,2517254
2019-04-04,2078.1499,2079.7000,2007.4000,2014.5000,4397518
2019-04-03,2085.0000,2089.6001,2058.1001,2079.3000,2939886
2019-04-02,2037.1000,2086.0000,2037.0000,2079.3000,3719663
2019-04-01,2010.0000,2039.9500,2008.2500,2031.6500,2095740
2019-03-28,1980.0000,2014.6000,1972.8000,2000.3000,4054489
2019-03-27,1994.0000,1998.0000,1961.0000,1967.9000,2266166
2019-03-26,1984.0000,1994.9500,1958.0500,1982.6500,2316539
2019-03-25,2007.8000,2007.8000,1977.2000,1984.2500,2429205
2019-03-22,2015.0000,2016.0000,1983.3000,2005.6500,3148149
2019-03-20,2028.0000,2044.8000,2000.0000,2015.0500,3091165
2019-03-19,2030.0000,2030.0000,1995.1000,2022.8000,2373993
2019-03-18,2043.0000,2064.6001,2011.0000,2022.8000,2349915
2019-03-15,1998.9000,2068.9500,1991.0000,2039.9500,5184318
2019-03-14,2004.9500,2007.8000,1981.0000,1987.4000,1905495
2019-03-13,2013.0000,2015.9000,1978.6000,2000.5000,1833163
2019-03-12,2014.0500,2024.8000,2003.0000,2012.4500,2658550
2019-03-11,2028.9000,2033.0000,2003.6500,2014.8000,3111689
2019-03-08,2025.0000,2033.0000,2010.0500,2022.7000,2031071
2019-03-07,2005.0000,2024.0500,2000.2000,2013.3000,2539884
2019-03-06,1989.3000,2015.0000,1985.0500,1999.6000,2635047
2019-03-05,2005.0000,2007.0000,1976.6000,1988.1000,2449622
2019-03-01,1995.0500,2005.0000,1980.3500,1995.4000,4148548
2019-02-28,2060.0000,2071.3501,1977.6000,1983.4500,8454295
2019-02-27,2040.0000,2074.9500,2022.0000,2058.1001,4732082
2019-02-26,1984.0000,2045.1500,1972.2500,2038.7000,6453309
2019-02-25,1932.5000,1990.0000,1930.5000,1985.1500,2934880
2019-02-22,1917.2000,1930.0000,1905.1000,1925.6500,2271955
2019-02-21,1914.7500,1940.0000,1897.0500,1914.2000,4683919
2019-02-20,1915.0000,1933.8000,1881.3000,1914.7500,4645778
2019-02-19,1970.0000,1971.0000,1892.0000,1904.8000,4408554
2019-02-18,2037.6000,2041.9500,1962.6500,1970.3000,2942184
2019-02-15,2049.0000,2052.0000,2010.9500,2029.7000,1930065
2019-02-14,2060.0500,2075.0000,2033.0500,2044.6000,1724085
2019-02-12,2070.0000,2070.0000,2018.0000,2051.6001,2422903
2019-02-11,2060.0000,2096.0000,2048.8999,2065.8999,1778730
2019-02-08,2075.0000,2089.5000,2051.0000,2061.3999,1684474
2019-02-07,2074.7500,2097.9500,2067.0000,2082.8999,1339945
2019-02-06,2049.8999,2086.8501,2041.0500,2074.8000,1789812
2019-02-05,2050.0000,2055.0000,2028.0000,2044.5500,1111396
2019-02-04,2029.9500,2055.4500,2023.0000,2050.2500,1590764
2019-02-01,2009.5000,2034.7500,1998.1000,2029.9500,3064163
2019-01-31,1987.0000,2019.7500,1985.0000,2014.1000,4094319
2019-01-30,1979.6000,1989.5000,1954.6500,1981.4000,2429575
2019-01-29,1962.0000,1989.0500,1936.6500,1982.7500,2557626
2019-01-28,1933.0000,1962.0000,1925.5000,1955.0000,2769033
2019-01-25,1902.0000,1935.0000,1901.0000,1920.8000,2327080
2019-01-24,1884.8000,1905.2500,1875.0000,1901.5500,1962927
2019-01-23,1901.0000,1906.1000,1870.0000,1875.6000,2578169
2019-01-22,1907.1000,1918.2500,1890.0000,1901.9000,2457093
2019-01-21,1902.0000,1932.0000,1895.4500,1908.7000,2409803
2019-01-18,1881.0000,1904.2000,1876.0000,1900.6500,1683728
2019-01-17,1878.0000,1898.0000,1871.3000,1894.3000,2625816
2019-01-16,1870.0000,1875.0000,1847.0000,1870.1500,2359280
2019-01-15,1810.0000,1869.3500,1808.0000,1867.8000,7711653
2019-01-14,1850.0000,1851.0000,1810.0000,1813.2500,3615370
2019-01-11,1870.0000,1875.0000,1835.0000,1842.5500,9209862
2019-01-10,1890.0000,1905.0000,1872.1000,1888.5500,3053461
2019-01-09,1907.4000,1919.0000,1866.7000,1886.9500,2414376
2019-01-08,1905.4000,1906.4000,1883.3000,1893.5500,1691756
2019-01-07,1891.8000,1908.8000,1881.0000,1897.9000,1856423
2019-01-04,1900.0000,1901.2000,1841.0000,1876.8500,4280862
2019-01-03,1919.0000,1944.9500,1893.1000,1899.9500,2611668
2019-01-02,1905.0000,1934.4500,1900.0000,1923.3000,2100463
2019-01-01,1896.0000,1910.0000,1885.0000,1902.8000,1094883
2018-12-31,1908.0000,1909.0000,1886.1500,1893.0500,1879740
2018-12-28,1915.0000,1920.0000,1893.0000,1896.0500,2239130
2018-12-27,1909.0000,1941.7000,1872.1000,1908.9500,4968201
2018-12-26,1921.8000,1921.8000,1870.2500,1889.2000,2446614
2018-12-24,1905.8000,1938.9000,1905.0000,1918.5000,1864116
2018-12-21,1948.0000,1950.0000,1886.5500,1895.8000,3729956
2018-12-20,1953.8000,1974.9000,1946.0000,1954.0500,1940277
2018-12-19,1984.8000,1984.8000,1960.0500,1968.4500,2498833
2018-12-18,1991.9000,2002.0000,1976.4000,1987.8500,1768742
2018-12-17,1999.0000,2004.9000,1985.0000,1994.3000,1227921
2018-12-14,1983.0000,1998.9500,1975.2500,1989.7500,2473761
2018-12-13,2024.0000,2029.7000,1974.5000,1982.6000,3748429
2018-12-12,2001.1000,2022.0000,1984.9500,2016.8000,2219993
2018-12-11,1970.0000,2010.0000,1961.0000,2000.0000,2942014
2018-12-10,1975.0000,2011.0000,1960.0000,1975.8000,2010786
2018-12-07,1985.0500,2003.9000,1973.0000,1995.2000,1680420
2018-12-06,1998.0000,2017.0000,1979.6000,1992.7000,2321216
2018-12-05,2006.0000,2018.0000,1985.0000,2006.7500,2501539
2018-12-04,1983.0000,2019.4000,1971.0000,2010.8500,3270615
2018-12-03,1984.0000,1990.0000,1968.3000,1982.4000,1610576
2018-11-30,1966.0000,1991.0000,1959.8500,1968.2500,5268901
2018-11-29,1997.0000,1997.0000,1942.5500,1960.5500,4035441
2018-11-28,1889.0000,1989.0000,1882.5000,1983.9000,5313249
